Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Latvia,119,SDG 6.4.2. Water Stress,4550,1995,2.394,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2002,1.441,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2007,1.217,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2012,1.463,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2016,1.322,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,1994,41.89,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2000,41.08,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2005,35.56,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2015,58.79,K,,
Lesotho,122,SDG 6.4.2. Water Stress,4550,2000,2.566,K,,
Liberia,123,SDG 6.4.2. Water Stress,4550,2000,0.237,K,,
Libya,124,SDG 6.4.2. Water Stress,4550,1990,680.0,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,1994,657.1,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2000,615.4,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2005,688.9,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2012,822.9,I,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,1995,31.34,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2001,19.96,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2007,16.32,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2017,19.96,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,1995,4.685,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,1999,5.017,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,2012,3.69,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,2016,3.648,K,,
Madagascar,129,SDG 6.4.2. Water Stress,4550,2000,11.19,K,,
Madagascar,129,SDG 6.4.2. Water Stress,4550,2006,11.35,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,1994,12.08,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,2002,17.09,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,2005,17.51,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,1990,5.19,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,1996,2.812,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,2000,4.77,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,2005,5.744,K,,
Maldives,132,SDG 6.4.2. Water Stress,4550,2008,15.67,I,,
Mali,133,SDG 6.4.2. Water Stress,4550,2006,8.003,K,,
Malta,134,SDG 6.4.2. Water Stress,4550,1995,58.42,,,
Malta,134,SDG 6.4.2. Water Stress,4550,2002,67.33,I,,
Malta,134,SDG 6.4.2. Water Stress,4550,2007,64.95,K,,
Malta,134,SDG 6.4.2. Water Stress,4550,2012,33.66,I,,
Malta,134,SDG 6.4.2. Water Stress,4550,2016,82.97,K,,
Mauritania,136,SDG 6.4.2. Water Stress,4550,2000,15.71,K,,
Mauritania,136,SDG 6.4.2. Water Stress,4550,2005,13.24,K,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,1990,20.57,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,1995,22.36,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,2000,22.17,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,2003,26.35,,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2002,27.12,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2007,29.5,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2012,30.72,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2016,32.14,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,1993,3.142,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2006,3.965,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2009,4.046,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2016,3.395,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,1992,52.99,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,1995,54.05,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,2002,71.14,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,2010,49.68,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,1990,0.7194,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,2001,1.051,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,2015,1.751,K,,
Myanmar,28,SDG 6.4.2. Water Stress,4550,2000,5.799,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,1991,0.7601,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,1995,0.8157,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,2002,0.8616,K,,
Nepal,149,SDG 6.4.2. Water Stress,4550,2000,8.369,K,,
Nepal,149,SDG 6.4.2. Water Stress,4550,2006,8.312,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,1991,15.16,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,1996,12.35,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2002,16.91,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2007,20.77,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2012,20.35,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2014,16.93,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,1999,2.559,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,2006,4.0,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,2010,4.239,K,,
Nicaragua,157,SDG 6.4.2. Water Stress,4550,2001,2.421,K,,
Nicaragua,157,SDG 6.4.2. Water Stress,4550,2011,2.696,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,1988,2.133,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,2005,4.196,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,2016,7.453,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2000,7.992,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2005,8.969,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2010,9.667,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,1996,37.63,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,2002,15.32,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,2007,13.34,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,1996,1.84,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,2002,1.824,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,2007,2.301,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2001,38.37,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2005,58.19,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2016,51.12,K,,
Oman,221,SDG 6.4.2. Water Stress,4550,1991,85.5,I,,
Oman,221,SDG 6.4.2. Water Stress,4550,2000,92.86,I,,
Oman,221,SDG 6.4.2. Water Stress,4550,2003,84.71,I,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,1991,95.45,K,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,2000,105.9,K,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,2008,112.6,K,,
Panama,166,SDG 6.4.2. Water Stress,4550,2010,0.7714,K,,
Panama,166,SDG 6.4.2. Water Stress,4550,2016,0.9008,K,,
Papua New Guinea,168,SDG 6.4.2. Water Stress,4550,2000,0.0915,K,,
Papua New Guinea,168,SDG 6.4.2. Water Stress,4550,2005,0.1322,K,,
Paraguay,169,SDG 6.4.2. Water Stress,4550,2000,0.3726,K,,
Paraguay,169,SDG 6.4.2. Water Stress,4550,2012,1.835,K,,
Peru,170,SDG 6.4.2. Water Stress,4550,2008,2.525,K,,
Philippines,171,SDG 6.4.2. Water Stress,4550,2006,24.12,K,,
Philippines,171,SDG 6.4.2. Water Stress,4550,2009,24.93,K,,
Philippines,171,SDG 6.4.2. Water Stress,4550,2016,26.03,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,1992,46.31,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,1997,44.27,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,2002,40.57,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,2007,41.61,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,2012,39.7,K,,
Poland,173,SDG 6.4.2. Water Stress,4550,2016,36.62,K,,
Portugal,174,SDG 6.4.2. Water Stress,4550,1991,17.28,K,,
Portugal,174,SDG 6.4.2. Water Stress,4550,1998,22.38,K,,
Portugal,174,SDG 6.4.2. Water Stress,4550,2007,18.38,K,,
Puerto Rico,177,SDG 6.4.2. Water Stress,4550,1990,17.81,K,,
Puerto Rico,177,SDG 6.4.2. Water Stress,4550,2000,19.12,K,,
Puerto Rico,177,SDG 6.4.2. Water Stress,4550,2005,22.29,K,,
Puerto Rico,177,SDG 6.4.2. Water Stress,4550,2010,22.71,K,,
Qatar,179,SDG 6.4.2. Water Stress,4550,1994,277.1,,,
Qatar,179,SDG 6.4.2. Water Stress,4550,2000,282.6,I,,
Qatar,179,SDG 6.4.2. Water Stress,4550,2005,374.1,,,
Republic of Korea,117,SDG 6.4.2. Water Stress,4550,1990,60.04,K,,
Republic of Korea,117,SDG 6.4.2. Water Stress,4550,1997,74.26,K,,
Republic of Korea,117,SDG 6.4.2. Water Stress,4550,2002,85.11,K,,
Republic of Korea,117,SDG 6.4.2. Water Stress,4550,2005,84.76,K,,
Republic of Moldova,146,SDG 6.4.2. Water Stress,4550,1992,29.15,K,,
Republic of Moldova,146,SDG 6.4.2. Water Stress,4550,2007,15.82,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,1990,19.11,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,1997,11.67,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,2002,8.635,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,2007,6.446,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,2012,6.069,K,,
Romania,183,SDG 6.4.2. Water Stress,4550,2016,5.968,K,,
Russian Federation,185,SDG 6.4.2. Water Stress,4550,1994,4.905,K,,
Russian Federation,185,SDG 6.4.2. Water Stress,4550,2001,4.211,K,,
Russian Federation,185,SDG 6.4.2. Water Stress,4550,2016,4.421,K,,
Rwanda,184,SDG 6.4.2. Water Stress,4550,2000,4.967,K,,
Saint Kitts and Nevis,188,SDG 6.4.2. Water Stress,4550,2012,51.25,I,,
Saint Lucia,189,SDG 6.4.2. Water Stress,4550,2007,14.3,I,,
Saint Vincent and the Grenadines,191,SDG 6.4.2. Water Stress,4550,1995,10.0,I,,
Saint Vincent and the Grenadines,191,SDG 6.4.2. Water Stress,4550,2013,7.9,I,,
Sao Tome and Principe,193,SDG 6.4.2. Water Stress,4550,1993,0.3211,,,
Sao Tome and Principe,193,SDG 6.4.2. Water Stress,4550,2016,1.876,,,
Saudi Arabia,194,SDG 6.4.2. Water Stress,4550,1992,671.7,I,,
Saudi Arabia,194,SDG 6.4.2. Water Stress,4550,2006,943.3,K,,
Saudi Arabia,194,SDG 6.4.2. Water Stress,4550,2012,797.5,I,,
Saudi Arabia,194,SDG 6.4.2. Water Stress,4550,2017,871.7,I,,
Senegal,195,SDG 6.4.2. Water Stress,4550,2002,11.81,K,,
Serbia,272,SDG 6.4.2. Water Stress,4550,2007,4.461,K,,
Serbia,272,SDG 6.4.2. Water Stress,4550,2012,4.36,K,,
Serbia,272,SDG 6.4.2. Water Stress,4550,2016,5.305,K,,
Sierra Leone,197,SDG 6.4.2. Water Stress,4550,2000,0.4414,K,,
Sierra Leone,197,SDG 6.4.2. Water Stress,4550,2005,0.4958,K,,
Slovakia,199,SDG 6.4.2. Water Stress,4550,1997,5.637,K,,
Slovakia,199,SDG 6.4.2. Water Stress,4550,2002,4.707,K,,
Slovakia,199,SDG 6.4.2. Water Stress,4550,2007,2.96,K,,
Slovakia,199,SDG 6.4.2. Water Stress,4550,2012,2.863,K,,
Slovakia,199,SDG 6.4.2. Water Stress,4550,2016,2.302,K,,
Slovenia,198,SDG 6.4.2. Water Stress,4550,2002,6.08,K,,
Slovenia,198,SDG 6.4.2. Water Stress,4550,2007,6.321,K,,
Slovenia,198,SDG 6.4.2. Water Stress,4550,2012,6.275,K,,
Slovenia,198,SDG 6.4.2. Water Stress,4550,2016,5.999,K,,
Somalia,201,SDG 6.4.2. Water Stress,4550,2000,24.47,K,,
Somalia,201,SDG 6.4.2. Water Stress,4550,2003,24.53,K,,
South Africa,202,SDG 6.4.2. Water Stress,4550,1990,42.56,K,,
South Africa,202,SDG 6.4.2. Water Stress,4550,1995,41.24,K,,
South Africa,202,SDG 6.4.2. Water Stress,4550,2000,40.76,K,,
South Africa,202,SDG 6.4.2. Water Stress,4550,2013,49.63,K,,
South Sudan,277,SDG 6.4.2. Water Stress,4550,2011,4.226,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,1991,50.17,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,1997,47.03,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,2002,48.41,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,2007,47.68,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,2012,50.1,K,,
Spain,203,SDG 6.4.2. Water Stress,4550,2014,43.65,K,,
Sri Lanka,38,SDG 6.4.2. Water Stress,4550,1990,68.51,K,,
Sri Lanka,38,SDG 6.4.2. Water Stress,4550,2000,91.23,K,,
Sri Lanka,38,SDG 6.4.2. Water Stress,4550,2005,90.81,K,,
Sudan,276,SDG 6.4.2. Water Stress,4550,2011,118.6,K,,
Suriname,207,SDG 6.4.2. Water Stress,4550,2000,4.298,K,,
Suriname,207,SDG 6.4.2. Water Stress,4550,2006,3.951,K,,
Sweden,210,SDG 6.4.2. Water Stress,4550,1992,4.29,K,,
Sweden,210,SDG 6.4.2. Water Stress,4550,1997,3.912,K,,
Sweden,210,SDG 6.4.2. Water Stress,4550,2002,3.861,K,,
Sweden,210,SDG 6.4.2. Water Stress,4550,2007,3.795,K,,
Sweden,210,SDG 6.4.2. Water Stress,4550,2010,3.88,K,,
Switzerland,211,SDG 6.4.2. Water Stress,4550,1992,10.28,K,,
Switzerland,211,SDG 6.4.2. Water Stress,4550,1997,9.76,K,,
Switzerland,211,SDG 6.4.2. Water Stress,4550,2002,9.603,K,,
Switzerland,211,SDG 6.4.2. Water Stress,4550,2012,7.647,K,,
Syrian Arab Republic,212,SDG 6.4.2. Water Stress,4550,1997,128.5,K,,
Syrian Arab Republic,212,SDG 6.4.2. Water Stress,4550,2002,145.7,K,,
Syrian Arab Republic,212,SDG 6.4.2. Water Stress,4550,2005,125.9,K,,
Tajikistan,208,SDG 6.4.2. Water Stress,4550,1994,76.0,K,,
Tajikistan,208,SDG 6.4.2. Water Stress,4550,2000,76.92,K,,
Tajikistan,208,SDG 6.4.2. Water Stress,4550,2006,73.82,K,,
Thailand,216,SDG 6.4.2. Water Stress,4550,2007,23.02,K,,
Timor-Leste,176,SDG 6.4.2. Water Stress,4550,2004,28.27,K,,
Togo,217,SDG 6.4.2. Water Stress,4550,2002,2.57,K,,
Trinidad and Tobago,220,SDG 6.4.2. Water Stress,4550,1997,17.96,K,,
Trinidad and Tobago,220,SDG 6.4.2. Water Stress,4550,2000,18.98,K,,
Trinidad and Tobago,220,SDG 6.4.2. Water Stress,4550,2005,18.68,K,,
Trinidad and Tobago,220,SDG 6.4.2. Water Stress,4550,2011,20.33,K,,
Tunisia,222,SDG 6.4.2. Water Stress,4550,1990,77.88,K,,
Tunisia,222,SDG 6.4.2. Water Stress,4550,1995,72.34,K,,
Tunisia,222,SDG 6.4.2. Water Stress,4550,2001,71.33,K,,
Tunisia,222,SDG 6.4.2. Water Stress,4550,2011,81.68,K,,
Tunisia,222,SDG 6.4.2. Water Stress,4550,2017,121.1,K,,
Turkey,223,SDG 6.4.2. Water Stress,4550,1992,23.47,K,,
Turkey,223,SDG 6.4.2. Water Stress,4550,2000,31.2,K,,
Turkey,223,SDG 6.4.2. Water Stress,4550,2003,29.75,K,,
Turkey,223,SDG 6.4.2. Water Stress,4550,2008,31.17,K,,
Turkey,223,SDG 6.4.2. Water Stress,4550,2016,43.76,K,,
Turkmenistan,213,SDG 6.4.2. Water Stress,4550,1994,122.1,K,,
Turkmenistan,213,SDG 6.4.2. Water Stress,4550,2000,128.3,K,,
Turkmenistan,213,SDG 6.4.2. Water Stress,4550,2004,143.5,K,,
Uganda,226,SDG 6.4.2. Water Stress,4550,2002,2.904,K,,
Uganda,226,SDG 6.4.2. Water Stress,4550,2008,5.828,K,,
Ukraine,230,SDG 6.4.2. Water Stress,4550,1992,33.68,K,,
Ukraine,230,SDG 6.4.2. Water Stress,4550,2000,23.68,K,,
Ukraine,230,SDG 6.4.2. Water Stress,4550,2005,19.53,K,,
Ukraine,230,SDG 6.4.2. Water Stress,4550,2010,19.24,K,,
Ukraine,230,SDG 6.4.2. Water Stress,4550,2016,12.69,K,,
United Arab Emirates,225,SDG 6.4.2. Water Stress,4550,1995,1149.0,,,
United Arab Emirates,225,SDG 6.4.2. Water Stress,4550,2000,1556.0,I,,
United Arab Emirates,225,SDG 6.4.2. Water Stress,4550,2005,1867.0,I,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,1990,20.49,K,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,1995,20.61,K,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,2002,26.91,K,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,2007,14.46,K,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,2012,13.67,K,,
United Kingdom,229,SDG 6.4.2. Water Stress,4550,2016,14.36,K,,
United Republic of Tanzania,215,SDG 6.4.2. Water Stress,4550,2002,12.96,K,,
United States of America,231,SDG 6.4.2. Water Stress,4550,1990,29.47,K,,
United States of America,231,SDG 6.4.2. Water Stress,4550,2000,30.01,K,,
United States of America,231,SDG 6.4.2. Water Stress,4550,2005,30.33,K,,
United States of America,231,SDG 6.4.2. Water Stress,4550,2010,26.53,K,,
United States of America,231,SDG 6.4.2. Water Stress,4550,2015,28.16,K,,
Uruguay,234,SDG 6.4.2. Water Stress,4550,2000,9.786,K,,
Uzbekistan,235,SDG 6.4.2. Water Stress,4550,1994,154.2,K,,
Uzbekistan,235,SDG 6.4.2. Water Stress,4550,2001,154.1,K,,
Uzbekistan,235,SDG 6.4.2. Water Stress,4550,2005,141.0,K,,
Uzbekistan,235,SDG 6.4.2. Water Stress,4550,2016,151.5,K,,
Venezuela (Bolivarian Republic of),236,SDG 6.4.2. Water Stress,4550,2000,3.02,K,,
Venezuela (Bolivarian Republic of),236,SDG 6.4.2. Water Stress,4550,2007,7.54,K,,
Viet Nam,237,SDG 6.4.2. Water Stress,4550,2005,18.13,K,,
Yemen,249,SDG 6.4.2. Water Stress,4550,1990,139.1,I,,
Yemen,249,SDG 6.4.2. Water Stress,4550,2000,161.1,I,,
Yemen,249,SDG 6.4.2. Water Stress,4550,2005,168.6,I,,
Zambia,251,SDG 6.4.2. Water Stress,4550,1992,3.151,K,,
Zambia,251,SDG 6.4.2. Water Stress,4550,1994,3.077,K,,
Zambia,251,SDG 6.4.2. Water Stress,4550,2002,2.835,K,,
Zimbabwe,181,SDG 6.4.2. Water Stress,4550,2002,39.48,K,,
Zimbabwe,181,SDG 6.4.2. Water Stress,4550,2007,33.51,K,,
